Team,COLA,fBracket,fRate,fMarginal,sBracket,sRate,sMarginal,Local
ANA,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0
ARI,0.61,622050,0.37,167307.5,65920,0.045,2270.07,0
BOS,1.05,622050,0.37,167307.5,0,0.05,0,0
BUF,0.39,622050,0.37,167307.5,2155350,0.0882,145133.21,0
CGY,0.49,214368,0.33,49644.31,314928,0.15,37791.36,0
CAR,0.53,622050,0.37,167307.5,0,0.0525,0,0
CHI,0.94,622050,0.37,167307.5,0,0.0495,0,0
COL,0.9,622050,0.37,167307.5,0,0.0463,0,0
CBJ,0.45,622050,0.37,167307.5,217400,0.048,7687.41,0.025
DAL,0.58,622050,0.37,167307.5,0,0,0,0
DET,0.46,622050,0.37,167307.5,0,0.0425,0,0.024
EDM,0.47,214368,0.33,49644.31,314928,0.15,37791.36,0
FLA,0.93,622050,0.37,167307.5,0,0,0,0
LAK,1.01,622050,0.37,167307.5,1181484,0.133,116662.73,0
MIN,0.62,622050,0.37,167307.5,273470,0.0985,19251.97,0
MTL,0.38,214368,0.33,49644.31,108390,0.2575,20223.15,0
NSH,0.55,622050,0.37,167307.5,0,0,0,0
NJD,0.76,622050,0.37,167307.5,5000000,0.1075,431461,0.01
NYI,1.51,622050,0.37,167307.5,2155350,0.0882,145133.21,0.03876
NYR,1.51,622050,0.37,167307.5,2155350,0.0882,145133.21,0.03876
OTT,0.57,214368,0.33,49644.31,220000,0.1316,21619.07,0
PHI,0.74,622050,0.37,167307.5,0,0.0307,0,0.038809
PIT,0.69,622050,0.37,167307.5,0,0.0307,0,0.015
SJS,1.01,622050,0.37,167307.5,1181484,0.133,116662.73,0
SEA,1.04,622050,0.37,167307.5,0,0,0,0
STL,0.48,622050,0.37,167307.5,8424,0.054,272.21,0.01
TBL,0.55,622050,0.37,167307.5,0,0,0,0
TOR,0.76,214368,0.33,49644.31,220000,0.1316,21619.07,0
VAN,0.69,214368,0.33,49644.31,157748,0.168,15213.87,0
VGK,0.55,622050,0.37,167307.5,0,0,0,0
WSH,1.22,622050,0.37,167307.5,1000000,0.0895,85025,0
WPG,0.4,214368,0.33,49644.31,72164,0.174,8549.82,0